iter	Logloss
0	0.691112114
1	0.689059577
2	0.6868564358
3	0.684958639
4	0.6828743972
5	0.6810255028
6	0.6793379277
7	0.6774606012
8	0.6756511714
9	0.6737067728
10	0.6720934154
11	0.6704807333
12	0.6688105244
13	0.6670276622
14	0.6653481225
15	0.6635184273
16	0.6618510423
17	0.6603264883
18	0.6587104396
19	0.6572331106
20	0.6558124096
21	0.6542052789
22	0.6528280324
23	0.651464165
24	0.6499987433
25	0.6485969553
26	0.6472451945
27	0.6459979853
28	0.6447062592
29	0.6433738337
30	0.6421245327
31	0.6407275186
32	0.6396091014
33	0.63827308
34	0.6371261051
35	0.6360947607
36	0.6349948739
37	0.6338593123
38	0.6327589029
39	0.6315928778
40	0.6304819473
41	0.6294227551
42	0.6283207036
43	0.6272724257
44	0.6263235489
45	0.6253903221
46	0.6245613104
47	0.623606946
48	0.6226101943
49	0.6217169952
50	0.6208102922
51	0.6198444671
52	0.6188636536
53	0.6180239216
54	0.6172482309
55	0.6163941229
56	0.6154777262
57	0.6146113253
58	0.6137928744
59	0.6129739125
60	0.6121001695
61	0.6115441819
62	0.6107355716
63	0.6099005867
64	0.6091680056
65	0.6081889513
66	0.6075372859
67	0.6068525248
68	0.606106076
69	0.6053310409
70	0.6047635121
71	0.6039240465
72	0.603158928
73	0.6025240852
74	0.6018350085
75	0.601168037
76	0.6006250468
77	0.5998688879
78	0.5991545287
79	0.5985295389
80	0.597999239
81	0.5972610784
82	0.5967255075
83	0.5961706357
84	0.5956225613
85	0.5951273617
86	0.5945661338
87	0.5940731862
88	0.5935127754
89	0.5928652871
90	0.5923507671
91	0.5918412289
92	0.5913420782
93	0.5909125484
94	0.5905580216
95	0.5901030396
96	0.5897070559
97	0.5890646932
98	0.5886594725
99	0.5881839358
100	0.5877462584
101	0.5872382553
102	0.5866871643
103	0.5862150109
104	0.5857179125
105	0.5851531031
106	0.584865865
107	0.5843681769
108	0.5839170492
109	0.5835663621
110	0.5831234865
111	0.5827018892
112	0.5820638962
113	0.5815834997
114	0.5811253376
115	0.580626614
116	0.5802442106
117	0.5798362827
118	0.579505421
119	0.5792179016
120	0.5789373841
121	0.5786045111
122	0.5783178846
123	0.5779134173
124	0.5775761926
125	0.57721314
126	0.5768556595
127	0.5765071479
128	0.5760370597
129	0.5756487935
130	0.5753383267
131	0.5750355588
132	0.5748129346
133	0.5745000871
134	0.5742048154
135	0.5739936373
136	0.5737599576
137	0.5733377827
138	0.5730280912
139	0.5727480924
140	0.5724866286
141	0.5721420969
142	0.5717832795
143	0.5715882917
144	0.571280414
145	0.5710544641
146	0.5708398757
147	0.5705537093
148	0.5702467632
149	0.5699172446
150	0.5696543003
151	0.5693326992
152	0.5688947009
153	0.5686079763
154	0.5683748627
155	0.5680286569
156	0.5677976892
157	0.5676221146
158	0.5672832248
159	0.567090027
160	0.5668721014
161	0.5666538581
162	0.5663909284
163	0.5662002801
164	0.5657951427
165	0.565506456
166	0.56529979
167	0.565008668
168	0.5648224022
169	0.5644505851
170	0.5642659927
171	0.5639752127
172	0.5638102916
173	0.5635953008
174	0.5634802866
175	0.5632770982
176	0.5631407852
177	0.5629751917
178	0.5628546136
179	0.5624481818
180	0.5622698702
181	0.5620700699
182	0.5618754688
183	0.5616168009
184	0.5613286533
185	0.5610553902
186	0.5608608352
187	0.5607238897
188	0.5605239251
189	0.5602553445
190	0.5600609214
191	0.5597968359
192	0.5595047971
193	0.5593226223
194	0.5590816586
195	0.5588071224
196	0.5586401279
197	0.5584362328
198	0.5582075995
199	0.5580238912
200	0.5578330139
201	0.5576290767
202	0.5575013659
203	0.5573646507
204	0.5571567457
205	0.5569633517
206	0.5568278691
207	0.5566351062
208	0.5565191063
209	0.5563388191
210	0.5562118108
211	0.5560641065
212	0.5559095495
213	0.5557313878
214	0.5555929319
215	0.5553251577
216	0.5551769334
217	0.5550434034
218	0.5548704617
219	0.5546283513
220	0.5544343031
221	0.5542882597
222	0.5541389765
223	0.5539967758
224	0.5538571544
225	0.5536820545
226	0.5535914605
227	0.5534593419
228	0.5532346326
229	0.5530053155
230	0.5529475036
231	0.5526857097
232	0.5525307647
233	0.5522418792
234	0.5521168318
235	0.5519513152
236	0.5516801083
237	0.5513131244
238	0.5511832105
239	0.5509430733
240	0.5505665847
241	0.550380644
242	0.5502876527
243	0.5501291847
244	0.5499276271
245	0.5497737904
246	0.5496665334
247	0.5495247091
248	0.5493773517
249	0.5492171233
250	0.549064458
251	0.5489866493
252	0.5486597434
253	0.5485428234
254	0.5484585525
255	0.5483120593
256	0.5480267967
257	0.5478222275
258	0.5477395682
259	0.5476423253
260	0.5475322567
261	0.5473996084
262	0.5473009007
263	0.5471779557
264	0.5470123052
265	0.5468006174
266	0.5466745177
267	0.5466023535
268	0.5463913852
269	0.5462601747
270	0.5461741464
271	0.5460332374
272	0.5459463339
273	0.5457060982
274	0.5456141332
275	0.5454814095
276	0.5453979865
277	0.545352438
278	0.5451982753
279	0.5450320235
280	0.5449255427
281	0.5448535967
282	0.5447608061
283	0.5446175878
284	0.5445674423
285	0.5444786573
286	0.5444380346
287	0.5442114741
288	0.544073432
289	0.5439224878
290	0.5437645119
291	0.5436053851
292	0.543488782
293	0.5433292936
294	0.5431938135
295	0.5431153833
296	0.5430338043
297	0.5427074342
298	0.5425766172
299	0.542429342
300	0.5422890072
301	0.5422187967
302	0.5421507295
303	0.5421031378
304	0.5420510575
305	0.5419872565
306	0.5418676255
307	0.5417206428
308	0.5415726769
309	0.5414707642
310	0.5413125449
311	0.541108728
312	0.5409915872
313	0.5408724235
314	0.540732082
315	0.540652527
316	0.5405680061
317	0.5405054863
318	0.5402517548
319	0.5399673279
320	0.5398851221
321	0.5397053306
322	0.5396089428
323	0.539588022
324	0.539539114
325	0.5394783827
326	0.5393945697
327	0.5393205596
328	0.5392372224
329	0.5391950652
330	0.5391224746
331	0.5390094487
332	0.5389302821
333	0.5387945374
334	0.5386918905
335	0.5385355417
336	0.5383969263
337	0.5383157013
338	0.5382702001
339	0.5381942351
340	0.5381296538
341	0.5380761888
342	0.537847047
343	0.5377982687
344	0.5376339111
345	0.5374918416
346	0.5373771206
347	0.5372965156
348	0.5372173017
349	0.5371895155
350	0.5371565473
351	0.5370470962
352	0.5370005792
353	0.5368016695
354	0.5367500223
355	0.5366302925
356	0.5364860103
357	0.5363333521
358	0.5362429553
359	0.5360022145
360	0.5359290794
361	0.5357909115
362	0.5356554923
363	0.5355090981
364	0.5353761685
365	0.5353074275
366	0.5352041264
367	0.5351292066
368	0.5351134365
369	0.5349571574
370	0.5347811277
371	0.5345745439
372	0.5345348318
373	0.5344531898
374	0.5343302627
375	0.5342159302
376	0.534080952
377	0.5339361908
378	0.5337771167
379	0.5336637759
380	0.533575772
381	0.5335450442
382	0.533414234
383	0.5333624882
384	0.533134192
385	0.5330832032
386	0.5330048421
387	0.5329358308
388	0.5328258183
389	0.5327067152
390	0.532625488
391	0.5324850813
392	0.5324298566
393	0.5323528771
394	0.5322783044
395	0.5322054132
396	0.5321080303
397	0.5320128729
398	0.5319371907
399	0.5318250524
400	0.5317243009
401	0.5316314259
402	0.5315736067
403	0.5314446473
404	0.5314005292
405	0.5312834649
406	0.5311343096
407	0.5310561039
408	0.5309936497
409	0.5308484602
410	0.5307909468
411	0.5306775721
412	0.5305814826
413	0.5305256737
414	0.5304033751
415	0.5303225711
416	0.5302933169
417	0.5301931496
418	0.530070418
419	0.5299439604
420	0.5298376908
421	0.529772583
422	0.5296701542
423	0.5296160172
424	0.5295366336
425	0.5294395134
426	0.5292635192
427	0.529088691
428	0.5289512446
429	0.5288676374
430	0.5287456711
431	0.5286592564
432	0.5285051412
433	0.5284713864
434	0.5283796745
435	0.5282648977
436	0.5281916975
437	0.5281391426
438	0.5280746598
439	0.5280030782
